order,ref,book_name,importance,priority_score,themes,reasons,fresh_translation,brenton_translation,review_status,decision,review_notes
46,Joshua 22:29,Joshua,medium,15,"anthropology, ritual, kingship","importance=medium; keywords=altar, being, lord, peace, sacrifice, salvation","May it never be for us to turn away from the Lord in these days, to revolt from the Lord, so as to build for ourselves an altar for offerings and sacrifices of well-being and the sacrifice of salvation besides the altar of the Lord that is before his tent.","Far be it from us therefore that we should turn away from the Lord this day so as to apostatize from the Lord, so as that we should build an altar for burnt-offerings, and for peace-offerings, besides the altar of the Lord which is before his tabernacle.",pending,,
47,1 Kings 3:9,1 Kings,high,14,"covenant/law, kingship","decisions=1; footnotes=1; importance=high; keywords=righteousness, servant","And you will give your servant a heart that hears and discerns your people in righteousness, to understand between good and evil. For who will be able to judge this heavy people of yours?","Thou shalt give therefore to thy servant a heart to hear and to judge thy people justly, and to discern between good and evil: for who will be able to judge this thy great people?",pending,,
48,1 Samuel 10:6,1 Samuel,high,14,anthropology,"decisions=1; footnotes=1; importance=high; keywords=lord, spirit","And the Spirit of the Lord will rush upon you, and you will prophesy with them, and you will be turned into another man.","And the Spirit of the Lord shall come upon thee, and thou shalt prophesy with them, and shalt be turned into another man.",pending,,
49,1 Samuel 12:17,1 Samuel,high,14,kingship,"decisions=1; footnotes=1; importance=high; keywords=king, lord","Is it not wheat harvest today? I will call upon the Lord, and he will give voices and rain, and know and see that your evil is great, which you did before the Lord, asking a king for yourselves.","Is it not wheat-harvest to-day? I will call upon the Lord, and he shall send thunder and rain; and know ye and see, that your wickedness is great which ye have wrought before the Lord, having asked for yourselves a king.",pending,,
50,1 Samuel 15:22,1 Samuel,high,14,ritual,"decisions=1; footnotes=1; importance=high; keywords=lord, sacrifice","And Samouēl said, Is it acceptable to the Lord, whole burnt offerings and sacrifices, as hearing the voice of the Lord? Behold, hearing is better than sacrifice, and listening than the fat of rams.","And Samuel said, Does the Lord take pleasure in whole-burnt-offerings and sacrifices, as in hearing the words of the Lord? behold, obedience is better than a good sacrifice, and hearkening than the fat of rams.",pending,,
51,2 Chronicles 33:16,2 Chronicles,low,14,"ritual, kingship","importance=low; keywords=altar, god, lord, peace, sacrifice, salvation","And he restored altar of Lord and sacrificed upon it sacrifice of salvation and of praise, and told Iouda to serve Lord God of Israel.","And he repaired the altar of the Lord, and offered upon it a sacrifice of peace-offering and thank-offering, and he told Juda to serve the Lord God of Israel.",pending,,
52,2 Samuel 12:13,2 Samuel,high,14,"covenant/law, ritual","decisions=1; footnotes=1; importance=high; keywords=lord, sin","And David said to Nathan, I have sinned against the Lord. And Nathan said to David, And the Lord has caused your sin to pass over; you certainly will not die.","And David said to Nathan, I have sinned against the Lord. And Nathan said to David, And the Lord has put away thy sin; thou shalt not die.",pending,,
53,2 Samuel 15:6,2 Samuel,high,14,"covenant/law, kingship","decisions=1; footnotes=1; importance=high; keywords=judgment, king","And Abessalōm did according to this word to all Israel who were coming for judgment to the king, and Abessalōm was stealing the heart of the men of Israel.",And Abessalom did after this manner to all Israel that came to the king for judgment; and Abessalom gained the hearts of the men of Israel.,pending,,
54,Deuteronomy 1:31,Deuteronomy,high,14,textual/lexical,"decisions=1; footnotes=1; importance=high; keywords=god, lord","and in this wilderness which you saw, how the Lord your God carried you as someone would carry his son, throughout all the road that you traveled until you came to this place.","and in this wilderness which ye saw, by the way of the mountain of the Amorite; how the Lord thy God will bear thee as a nursling, as if any man should nurse his child, through all the way which ye have gone until ye came to this place.",pending,,
55,Deuteronomy 2:7,Deuteronomy,high,14,textual/lexical,"decisions=1; footnotes=1; importance=high; keywords=god, lord","For the Lord our God blessed you in every work of your hands. Know how you passed through that great and fearful wilderness. Behold, forty years the Lord your God is with you. You lacked no thing.","For the Lord our God has blessed thee in every work of thy hands. Consider how thou wentest through that great and terrible wilderness: behold, the Lord thy God has been with thee forty years; thou didst not lack any thing.",pending,,
56,Deuteronomy 4:24,Deuteronomy,high,14,textual/lexical,"decisions=1; footnotes=1; importance=high; keywords=god, lord","Because the Lord your God is a consuming fire, a jealous God.","For the Lord thy God is a consuming fire, a jealous God.",pending,,
57,Joshua 22:23,Joshua,low,14,"ritual, kingship","importance=low; keywords=altar, god, lord, peace, sacrifice, salvation","And if we built for ourselves an altar so as to turn away from the Lord our God, so as to offer on it sacrifices of whole burnt offerings or so as to make on it a sacrifice of salvation, the Lord himself shall require it.","And if we have built to ourselves an altar, so as to apostatize from the Lord our God, so as to offer upon it a sacrifice of whole-burnt-offerings, so as to offer upon it a sacrifice of peace-offering,—the Lord shall require it.",pending,,
58,Nehemiah 9:8,Nehemiah,low,14,"anthropology, covenant/law, ritual, kingship","importance=low; keywords=covenant, god, lord, righteous, salvation, seed","And now the Lord our God dealt gently with us, to leave us a remnant for salvation and give us a foothold in place of his sanctuary, to enlighten our eyes and give us a little reviving in our slavery.","and thou foundest his heart faithful before thee, and didst make a covenant with him to give to him and to his seed the land of the Chananites, and the Chettites, and Amorites, and Pherezites, and Jebusites, and Gergesites; and thou hast confirmed thy words, for thou art righteous.",pending,,
59,Psalms 83:12,Psalms,low,14,theology,"importance=low; keywords=glory, god, grace, lord, mercy, truth",Because Lord God loves mercy and truth; Lord will give grace and glory; he will not withhold good things from those walking in innocence.,,pending,,
60,1 Chronicles 16:40,1 Chronicles,medium,13,"covenant/law, ritual, kingship","importance=medium; keywords=altar, god, law, lord, servant","to offer whole burnt offerings to Lord on altar of whole burnt offerings continually, morning and evening, and according to all things written in law of Lord, whatever he commanded upon sons of Israel by hand of Moyses servant of God,","to offer up whole-burnt-offerings to the Lord on the altar of whole-burnt-offerings continually morning and evening, and according to all things written in the law of the Lord, which he commanded the children of Israel by Moses the servant of God.",pending,,
61,1 Chronicles 6:34,1 Chronicles,medium,13,"theology, ritual, kingship","importance=medium; keywords=altar, god, holy, lord, servant","And Aaron and his sons were burning incense upon the altar of the whole-burnt-offerings and upon the altar of incense for every work of the holy of holies and to make atonement for Israel, according to all that Moses child of God commanded.","And Aaron and his sons were to burn incense on the altar of whole-burnt-offerings, and on the altar of incense, for all the ministry in the holy of holies, and to make atonement for Israel, according to all things that Moses the servant of the Lord commanded.",pending,,
62,2 Kings 23:24,2 Kings,medium,13,"anthropology, covenant/law, ritual, kingship","importance=medium; keywords=king, law, lord, priest, spirit","And indeed the spirit-mediums and the knowers and the theraphin and the idols and all the abominations that had appeared in the land of Judah and in Jerusalem king Iōsias removed, to establish the words of the law written upon the book which Chelkias the priest found in the house of the Lord.","Moreover Josias removed the sorcerers, and the wizards, and the theraphin, and the idols, and all the abominations that had been set up in the land of Juda and in Jerusalem, that he might keep the words of the law that were written in the book, which Chelcias the priest found in the house of the Lord.",pending,,
63,Isaiah 49:7,Isaiah,medium,13,"theology, anthropology, ritual, kingship","importance=medium; keywords=god, holy, lord, servant, soul","Thus says Lord, one rescuing you, God of Israel: Sanctify one despising his own soul, one abhorred by nations, servant of rulers. Kings will see him and rise, rulers also, and will worship him, because of Lord, because Holy One of Israel is faithful, and I chose you.",,pending,,
64,Isaiah 54:10,Isaiah,medium,13,"theology, anthropology, covenant/law, kingship","importance=medium; keywords=being, covenant, lord, mercy, peace","Mountains may be moved and your hills shaken, but mercy from me will not fail you, nor covenant of your peace be moved, says Lord, being gracious to you.",,pending,,
65,Joshua 22:5,Joshua,medium,13,"anthropology, covenant/law, kingship","importance=medium; keywords=god, law, lord, servant, soul","Only take great care to do the commandments and the law that Moses the servant of the Lord commanded us to do: to love the Lord your God, to walk in all his ways, to keep his commandments, and to cling to him and serve him with all your mind and with all your soul.","But take great heed to do the commands and the law, which Moses the servant of the Lord commanded you to do; to love the Lord our God, to walk in all his ways, to keep his commands, and to cleave to him, and serve him with all your mind, and with all your soul.",pending,,
66,Joshua 24:19,Joshua,medium,13,"theology, anthropology, covenant/law, ritual","importance=medium; keywords=being, forgive, god, holy, lord","And Joshua said to the people, You will not be able to serve the Lord, because he is a holy God and zealous; he will not forgive your sins and your lawless deeds.","And Joshua said to the people, Indeed ye will not be able to serve the Lord, for God is holy; and he being jealous will not forgive your sins and your transgressions.",pending,,
67,Nehemiah 11:11,Nehemiah,medium,13,"theology, kingship","importance=medium; keywords=god, king, lord, name, servant","Please, Lord, let your ear be attentive to prayer of your servant and to prayer of your servants who desire to fear your name, and prosper your servant today and give him for compassions before this man. And I was cupbearer to the king.","Saraia, son of Elchia, son of Mesulam, son of Sadduc, son of Marioth, son of Aetoth, was over the house of God.",pending,,
68,Nehemiah 1:11,Nehemiah,medium,13,"theology, kingship","importance=medium; keywords=king, lord, mercy, name, servant","All the vessels, in gold and silver, were five thousand four hundred. Sasabasar brought them all up with those coming up from captivity, from Babylon to Ierousalem.","Turn not away, I pray thee, O Lord, but let thine ear be attentive to the prayer of thy servant, and to the prayer of thy servants, who desire to fear thy name: and prosper, I pray thee, thy servant this day, and cause him to find mercy in the sight of this man. Now I was the king's cup-bearer.",pending,,
69,Nehemiah 1:5,Nehemiah,medium,13,"theology, anthropology, covenant/law","importance=medium; keywords=covenant, god, lord, mercy, spirit","Then heads of father-houses of Iouda and Beniamin rose up, and priests and Levites, all whose spirit God stirred to go up to build house of the Lord in Ierousalem.","And I said, Nay, I pray thee, O Lord God of heaven, the mighty, the great and terrible, keeping thy covenant and mercy to them that love him, and to those that keep his commandments:",pending,,
70,Nehemiah 1:7,Nehemiah,medium,13,"covenant/law, kingship","importance=medium; keywords=covenant, god, king, lord, servant","And King Cyrus brought out vessels of house of the Lord, which Nabouchodonosor took from Ierousalem and placed in house of his god.","We have altogether broken covenant with thee, and we have not kept the commandments, and the ordinances, and the judgments, which thou didst command thy servant Moses.",pending,,
71,Zechariah 12:10,Zechariah,medium,13,"theology, anthropology, kingship","importance=medium; keywords=beloved, compassion, firstborn, grace, spirit","And I will pour out upon house of David and upon inhabitants of Jerusalem spirit of grace and compassion, and they will look toward me because they danced insultingly, and they will mourn for him with mourning as for beloved one and grieve over him as over firstborn.",,pending,,
72,1 Chronicles 16:35,1 Chronicles,low,12,"theology, ritual, kingship","importance=low; keywords=glory, god, holy, name, salvation","And say, Save us, God of our salvation, and deliver us from nations, to praise your holy name and to boast in your praises.","And say ye, Save us, O God of our salvation, and gather us, and rescue us from among the heathen, that we may praise thy holy name, and glory in thy praises.",pending,,
73,2 Chronicles 26:18,2 Chronicles,low,12,"theology, ritual, kingship","importance=low; keywords=glory, god, king, lord, sacrifice","And they stood against Ozia the king and said to him, Not for you, Ozia, to burn incense to Lord, but for priests, sons of Aaron, those sanctified to burn incense. Go out from sanctuary, because you rebelled from Lord, and this shall not be for glory to you from Lord God.","And they withstood Ozias the king, and said to him, It is not for thee, Ozias, to burn incense to the Lord, but only for the priests the sons of Aaron, who are consecrated to sacrifice: go forth of the sanctuary, for thou hast departed from the Lord; and this shall not be for glory to thee from the Lord God.",pending,,
74,2 Kings 2:9,2 Kings,high,12,anthropology,decisions=1; footnotes=1; importance=high; keywords=spirit,"And it came to be when they crossed over, Elijah said to Elisaie, Ask what I should do for you before I am taken up from you. And Elisaie said, Let a double share of your spirit now be upon me.","And it came to pass while they were crossing over, that Eliu said to Elisaie, Ask what I shall do for thee before I am taken up from thee. And Elisaie said, Let there be, I pray thee, a double portion of thy spirit upon me.",pending,,
75,Ezekiel 39:25,Ezekiel,low,12,"theology, ritual","importance=low; keywords=god, holy, lord, mercy, name",Therefore thus says Lord God: Now I will turn back captivity of Jacob and have mercy on house of Israel and be jealous for my holy name.,,pending,,
76,Ezra 6:12,Ezra,low,12,"theology, anthropology, kingship","importance=low; keywords=created, god, king, lord, name","And they answered us, saying, We are servants of Lord who created heaven and earth.","And may the God whose name dwells there, overthrow every king and people who shall stretch out his hand to alter or destroy the house of God which is in Jerusalem. I Darius have made a decree; let it be diligently attended to.",pending,,
77,Isaiah 12:2,Isaiah,low,12,"theology, ritual, kingship","importance=low; keywords=glory, god, lord, salvation, savior","Behold, my God my savior; Lord, I will trust in him and be saved in him, and I will not fear, because my glory and my praise = Lord, and he became salvation to me.",,pending,,
78,Isaiah 48:1,Isaiah,low,12,"theology, covenant/law","importance=low; keywords=god, lord, name, righteousness, truth","Hear these things, house of Jacob, those called by name of Israel and come out of Judah, swearing by name of Lord God of Israel, remembering not with truth nor with righteousness.",,pending,,
79,Isaiah 56:1,Isaiah,low,12,"theology, covenant/law, ritual, kingship","importance=low; keywords=judgment, lord, mercy, righteousness, salvation","Thus says Lord: Keep judgment. Do righteousness, because my salvation draws near to come and my mercy to be revealed.",,pending,,
80,Isaiah 5:16,Isaiah,low,12,"theology, covenant/law, ritual","importance=low; keywords=god, holy, judgment, lord, righteousness","And Lord Sabaoth will be exalted in judgment, and Holy God will be glorified in righteousness.",,pending,,
81,Jeremiah 23:5,Jeremiah,low,12,"covenant/law, kingship","importance=low; keywords=judgment, king, lord, righteous, righteousness","Behold, days come, says Lord, and I will raise for David righteous rising, and king will reign and understand and do judgment and righteousness upon earth.",,pending,,
82,Jeremiah 4:2,Jeremiah,low,12,"theology, covenant/law","importance=low; keywords=god, judgment, lord, righteousness, truth","and swears, As Lord lives, with truth and in judgment and in righteousness, then nations will bless in him and in him will praise God in Jerusalem.",,pending,,
83,Micah 5:3,Micah,low,12,"theology, kingship","importance=low; keywords=glory, god, lord, name, shepherd","And he will stand and see and shepherd his flock in strength of Lord and in glory of name of Lord their God. They will exist, because now he will be made great to ends of earth.",,pending,,
84,Nehemiah 8:9,Nehemiah,low,12,"theology, covenant/law, ritual","importance=low; keywords=god, holy, law, lord, priest","and from sons of Ioab, Abdia son of Iiel, and with him two hundred eighteen males;","And Neemias, and Esdras the priest and scribe, and the Levites, and they that instructed the people, spoke and said to all the people, It is a holy day to the Lord our God; do not mourn, nor weep. For all the people wept when they heard the words of the law.",pending,,
85,Psalms 113:9,Psalms,low,12,theology,"importance=low; keywords=glory, lord, mercy, name, truth","Not to us, Lord, not to us, but to your name give glory, upon your mercy and your truth.",,pending,,
86,Psalms 68:14,Psalms,low,12,"theology, ritual, kingship","importance=low; keywords=god, lord, mercy, salvation, truth","But I, with my prayer to you, Lord: time of good pleasure. O God, in multitude of your mercy hear me in truth of your salvation.",,pending,,
87,Psalms 78:9,Psalms,low,12,"theology, kingship","importance=low; keywords=glory, god, lord, name, savior","Help us, God our savior, for sake of glory of your name. Lord, rescue us and propitiate our sins for sake of your name.",,pending,,
88,Zechariah 7:9,Zechariah,low,12,"theology, covenant/law","importance=low; keywords=compassion, judgment, lord, mercy, righteous","Thus says Lord Almighty: Judge righteous judgment, and do mercy and compassion, each toward his brother.",,pending,,
89,1 Chronicles 15:29,1 Chronicles,medium,11,"anthropology, covenant/law, kingship","importance=medium; keywords=covenant, king, lord, soul","And it came to pass, ark of covenant of Lord came as far as City of Dauid, and Melchol daughter of Saul looked through window and saw king Dauid dancing and playing, and she despised him in her soul.","And the ark of the covenant of the Lord arrived, and came to the city of David; and Melchol the daughter of Saul looked down through the window, and saw king David dancing and playing: and she despised him in her heart.",pending,,
90,1 Chronicles 22:7,1 Chronicles,medium,11,"theology, anthropology","importance=medium; keywords=god, lord, name, soul","And Dauid said, Salomon, my child, it came upon my soul to build house to name of Lord God,","And David said to Solomon, My child, it was in my heart to build a house to the name of the Lord God.",pending,,
91,2 Chronicles 15:3,2 Chronicles,medium,11,"theology, covenant/law, ritual","importance=medium; keywords=god, law, priest, truth",And many days Israel was without true God and without priest showing way and without law.,"And Israel has been a long time without the true God, and without a priest to expound the truth, and without the law.",pending,,
92,2 Chronicles 6:16,2 Chronicles,medium,11,"covenant/law, kingship","importance=medium; keywords=god, law, lord, servant","And now, Lord God of Israel, keep for your servant Dauid my father what you spoke to him, saying, Man shall not fail for you from before me sitting on throne of Israel, if only your sons keep their way to walk in my law as you walked before me.","And now, Lord God of Israel, keep with thy servant David my father the things which thou spokest to him, saying, There shall not fail thee a man before me sitting on the throne of Israel, if only thy sons will take heed to their way to walk in my law, as thou didst walk before me.",pending,,
93,2 Kings 16:15,2 Kings,medium,11,"ritual, kingship","importance=medium; keywords=altar, king, priest, sacrifice","And king Achaz commanded Ourias the priest, saying, Upon the great altar offer the morning whole-burnt-offering and the evening sacrifice and the whole-burnt-offering of the king and his sacrifice and the whole-burnt-offerings of all the people of the land and their sacrifices and their drink-offerings, and pour on it all the blood of the whole-burnt-offering and all the blood of the sacrifice, but the bronze altar will be for me to inquire by.","And king Achaz charged Urias the priest, saying, Offer upon the great altar the whole-burnt-offering in the morning and the meat-offering in the evening, and the whole-burnt-offering of the king, and his meat-offering, and the whole-burnt-offering of all the people, and their meat-offering, and their drink-offering; and thou shalt pour all the blood of the whole-burnt-offering, and all the blood of any other sacrifice upon it: and the brazen altar shall be for me in the morning.",pending,,
94,2 Kings 17:34,2 Kings,medium,11,"theology, covenant/law","importance=medium; keywords=judgment, law, lord, name","Until this day they act according to their custom. They do not fear, and they do not act according to their ordinances and according to their judgment and according to the law and according to the commandment which the Lord commanded the sons of Iakōb, whom he named Israel.","Until this day they did according to their manner: they fear the Lord, and they do according to their customs, and according to their manner, and according to the law, and according to the commandment which the Lord commanded the sons of Jacob, whose name he made Israel.",pending,,
95,2 Kings 18:12,2 Kings,medium,11,"covenant/law, kingship","importance=medium; keywords=covenant, god, lord, servant","because they did not listen to the voice of the Lord their God and transgressed his covenant, all that Moses the servant of the Lord commanded, and they did not listen and did not do it.","because they hearkened not to the voice of the Lord their God, and transgressed his covenant, even in all things that Moses the servant of the Lord commanded, and hearkened not to them, nor did them.",pending,,
96,Amos 4:13,Amos,medium,11,"theology, anthropology","importance=medium; keywords=god, lord, name, spirit","Because behold, I am one establishing thunder and creating spirit and declaring to humans his Christ, making dawn and mist and stepping upon heights of the earth; Lord God Almighty is his name.",,pending,,
97,Amos 9:1,Amos,medium,11,"theology, anthropology, ritual","importance=medium; keywords=altar, being, lord, mercy","I saw the Lord standing upon the altar, and he said, Strike upon the mercy-seat, and the foregates will be shaken; cut through into heads of all, and the remnant of them I will kill with sword. No one fleeing from them will flee away, and no one being rescued from them will be saved.",,pending,,
98,Daniel 3:28,Daniel,medium,11,"theology, kingship","importance=medium; keywords=angel, god, king, lord","And king Nebuchadnezzar answered and said, Blessed is Lord God of Shadrach, Meshach, and Abednego, who sent his angel and saved his servants who hoped in him. For they set aside command of the king and gave their bodies over to burning so that they would not serve or worship another god except their own God.",,pending,,
99,Daniel 4:22,Daniel,medium,11,"theology, anthropology, ritual, kingship","importance=medium; keywords=being, god, holy, king","And as for that tree being lifted up and coming near heaven and its trunk touching clouds, you, king, were exalted above all humans on face of whole earth. Your heart was lifted up in pride, and in strength your works were shown against the Holy One and his angels, because you laid waste house of living God because of sins of his consecrated people.",,pending,,
100,Daniel 4:33,Daniel,medium,11,"anthropology, kingship","importance=medium; keywords=god, king, lord, soul","By morning all these things will be completed upon you, Nebuchadnezzar king of Babylon, and none of them will fail. I, Nebuchadnezzar king of Babylon, was bound for seven years; they fed me grass like an ox, and I ate from herbs of the earth. And after seven years I gave my soul to prayer and begged concerning my sins before Lord God of heaven, and concerning my ignorances I prayed to God of gods, the great one. And my hair became like eagle feathers, and my nails like those of a lion. My flesh was changed, and my heart; I walked naked among beasts of the earth. I saw a dream, and thoughts seized me, and after a time much sleep took me and drowsiness fell upon me.",,pending,,
101,Daniel 9:4,Daniel,medium,11,"theology, covenant/law","importance=medium; keywords=covenant, god, lord, mercy","And I prayed to Lord God and confessed and said, Behold, Lord, you are the great God and the mighty and fearsome one, keeping covenant and mercy for those loving you and keeping your commands.",,pending,,
102,Ezra 1:1,Ezra,medium,11,"anthropology, kingship","importance=medium; keywords=god, king, lord, spirit","And Iōsias brought Passover in Ierousalem to Lord his God, and sacrificed the Passover on fourteenth day of first month.","Now in the first year of Cyrus king of the Persians, that the word of the Lord by the mouth of Jeremias might be fulfilled, the Lord stirred up the spirit of Cyrus king of the Persians, and he issued a proclamation through all his kingdom, and that in writing, saying,",pending,,
103,Ezra 1:16,Ezra,medium,11,"ritual, kingship","importance=medium; keywords=altar, king, lord, sacrifice","And things of sacrifice of Lord were completed on that day, so that the Passover might be brought and sacrifices might be offered upon altar of Lord according to command of king Iōsias.",,pending,,
104,Ezra 6:8,Ezra,medium,11,"anthropology, kingship","importance=medium; keywords=being, god, king, lord","To king Darius, greetings in all things. Let it be known to our lord king that when we came into land of Ioudaia and entered Ierousalem city, we found elders of captivity of Ioudaioi in Ierousalem city building great new house to Lord from carved costly stones, timbers being laid in walls.","Also a decree has been made by me, if haply ye may do somewhat in concert with the elders of the Jews for the building of that house of God: to wit, out of the king's property, even the tributes beyond the river, let there be money to defray the expenses carefully granted to those men, so that they be not hindered.",pending,,
105,Haggai 1:14,Haggai,medium,11,"anthropology, ritual","importance=medium; keywords=god, lord, priest, spirit","Lord stirred spirit of Zerubbabel son of Salathiel from tribe of Judah, and spirit of Jeshua son of Josedek the great priest, and spirit of remnant of all people, and they entered and were doing works in house of Lord Almighty their God,",,pending,,
106,Haggai 2:9,Haggai,medium,11,"theology, anthropology, kingship","importance=medium; keywords=glory, lord, peace, soul","Latter glory of this house will be greater than first, says Lord Almighty, and in this place I will give peace, says Lord Almighty, and peace of soul for preservation to everyone building to raise this temple.",,pending,,
107,Jeremiah 33:16,Jeremiah,medium,11,"theology, covenant/law","importance=medium; keywords=god, judgment, lord, name","And rulers and all people said to priests and to false prophets, There is no judgment of death for this man, because in name of Lord our God he spoke to us.",,pending,,
108,Jeremiah 39:28,Jeremiah,medium,11,"anthropology, kingship","importance=medium; keywords=being, god, king, lord","Therefore thus said Lord God of Israel: This city in being given over will be handed into hands of king of Babylon, and he will take it.",,pending,,
109,Joshua 22:34,Joshua,medium,11,"theology, ritual","importance=medium; keywords=altar, god, lord, name","And Joshua named the altar of the Reubenites and the Gadites and the half tribe of Manasseh, and said, It is a witness between them that the Lord is their God.","And Joshua gave a name to the altar of the children of Ruben, and the children of Gad, and of the half tribe of Manasse; and said, It is a testimony in the midst of them, that the Lord is their God.",pending,,
110,Micah 6:7,Micah,medium,11,"anthropology, covenant/law, ritual, kingship","importance=medium; keywords=firstborn, lord, sin, soul","Will Lord accept thousands of rams or tens of thousands of torrents of fat? Shall I give my firstborn for impiety, fruit of my womb for sin of my soul?",,pending,,
111,Micah 6:8,Micah,medium,11,"theology, covenant/law","importance=medium; keywords=god, judgment, lord, mercy","It was told you, human, what good is, or what Lord seeks from you: but to do judgment and love mercy and be ready to walk with Lord your God.",,pending,,
112,Psalms 26:1,Psalms,medium,11,"anthropology, kingship","importance=medium; keywords=anointed, being, lord, savior","Of David, before being anointed. Lord my illumination and my savior; whom shall I fear? Lord defender of my life; from whom shall I be cowardly?",,pending,,
113,Psalms 30:6,Psalms,medium,11,"theology, anthropology","importance=medium; keywords=god, lord, spirit, truth","Into your hands I will entrust my spirit. You redeemed me, Lord, God of truth.",,pending,,
114,Amos 5:15,Amos,low,10,"theology, covenant/law","importance=low; keywords=god, judgment, lord, mercy","We hated evil things and loved good things, and restore judgment in gates, so that Lord God Almighty may show mercy to remnant of Joseph.",,pending,,
115,Daniel 4:23,Daniel,low,10,"theology, covenant/law","importance=low; keywords=angel, god, judgment, lord","And the vision you saw, that an angel in power was sent from Lord and said to remove the tree and cut it down, means judgment of great God will come upon you.",,pending,,
116,Ezekiel 20:39,Ezekiel,low,10,"theology, ritual","importance=low; keywords=god, holy, lord, name","And you, house of Israel, thus says Lord God: Each one, cast away his practices, and after these things, if you do not listen to me, you will no longer profane my holy name with your gifts and with your practices.",,pending,,
117,Ezekiel 42:13,Ezekiel,low,10,"theology, covenant/law, ritual","importance=low; keywords=holy, lord, sacrifice, sin","And he said to me, The chambers toward north and the chambers toward south opposite the intervals, these are the holy chambers in which priests, sons of Zadok, drawing near to Lord, will eat the holy of holies, and there they will place the holy of holies and the sacrifice and the things for sin and the things for ignorance, because the place is holy.",,pending,,
118,Ezekiel 43:19,Ezekiel,low,10,"anthropology, covenant/law, ritual, kingship","importance=low; keywords=god, lord, seed, sin","And you will give to the Levitical priests, from seed of Zadok, those drawing near to me to minister to me, says Lord God, a young bull from the herd for sin.",,pending,,
119,Ezekiel 44:15,Ezekiel,low,10,"theology, ritual","importance=low; keywords=god, holy, lord, sacrifice","But the Levitical priests, sons of Zadok, who kept charges of my holy things when house of Israel went astray from me, they will come near me to minister to me and stand before me to offer me sacrifice, fat and blood, says Lord God.",,pending,,
120,Ezekiel 45:9,Ezekiel,low,10,covenant/law,"importance=low; keywords=god, judgment, lord, righteousness","Thus says Lord God: Enough for you, rulers of Israel. Remove injustice and misery; do judgment and righteousness; remove oppression from my people, says Lord God.",,pending,,
121,Ezra 1:3,Ezra,low,10,"theology, ritual, kingship","importance=low; keywords=god, holy, king, lord","And he said to Levites, temple-servants of Israel, to sanctify themselves to Lord in setting holy ark of Lord in house which Salōmōn son of Dauid the king built. It will not be for you to bear it on shoulders.","Who is there among you of all his people? for his God shall be with him, and he shall go up to Jerusalem that is in Judea, and let him build the house of the God of Israel: he is the God that is in Jerusalem.",pending,,
122,Ezra 1:46,Ezra,low,10,"theology, kingship","importance=low; keywords=god, king, lord, name","And though sworn by king Nabouchodonosor in name of Lord, after swearing falsely he rebelled, and hardening his neck and strengthening his heart he transgressed laws of Lord God of Israel.",,pending,,
123,Habakkuk 1:12,Habakkuk,low,10,"theology, covenant/law, ritual","importance=low; keywords=god, holy, judgment, lord","Are you not from beginning, Lord my God, my Holy One? We will certainly not die. Lord, you appointed him for judgment, and you formed me to reprove his correction.",,pending,,
124,Hosea 13:4,Hosea,low,10,"anthropology, kingship","importance=low; keywords=created, god, lord, savior","But I am Lord your God, establishing heaven and creating earth, whose hands created all army of heaven, and I did not show them to you for you to go after them. And I brought you up from land of Egypt, and besides me you will know no god, and there is no savior except me.",,pending,,
125,Hosea 4:1,Hosea,low,10,theology,"importance=low; keywords=god, lord, mercy, truth","Hear word of Lord, sons of Israel, because Lord has a case against inhabitants of the land, because there is no truth nor mercy nor knowledge of God upon the land.",,pending,,
126,Jeremiah 9:23,Jeremiah,low,10,"theology, covenant/law","importance=low; keywords=judgment, lord, mercy, righteousness","but in this let one boasting boast: to understand and know that I am Lord, doing mercy and judgment and righteousness on earth, because in these is my will, says Lord.",,pending,,
127,Joel 2:14,Joel,low,10,"covenant/law, ritual","importance=low; keywords=god, lord, repent, sacrifice","Who knows whether he will turn and repent and leave behind him blessing, sacrifice and drink offering to Lord our God?",,pending,,
128,Malachi 2:7,Malachi,low,10,"theology, covenant/law, ritual","importance=low; keywords=law, lord, messenger, priest","Because lips of priest will guard knowledge, and law they will seek from his mouth, because he is messenger of Lord Almighty.",,pending,,
129,Proverbs 20:28,Proverbs,low,10,"theology, covenant/law, kingship","importance=low; keywords=king, mercy, righteousness, truth","Mercy and truth guard king, and in righteousness they encircle his throne.",,pending,,
130,Proverbs 3:16,Proverbs,low,10,"theology, covenant/law","importance=low; keywords=glory, law, mercy, righteousness","For length of life and years of life in her right hand; in her left riches and glory. From her mouth comes righteousness, and law and mercy she carries on her tongue.",,pending,,
131,Zechariah 14:5,Zechariah,low,10,"theology, ritual, kingship","importance=low; keywords=god, holy, king, lord","And ravine of my mountains will be blocked up, and ravine of mountains will cling together as far as Iasol, and it will be blocked as it was blocked in days of earthquake in days of Uzziah king of Judah, and Lord my God will come and all holy ones with him.",,pending,,
132,Amos 2:7,Amos,medium,9,"theology, kingship","importance=medium; keywords=god, name, servant","Those trampling on dust of the earth and striking heads of poor with fists and turning aside way of humble, and son and father were going in to same servant-girl so as to profane name of their God.",,pending,,
133,Amos 5:8,Amos,medium,9,theology,"importance=medium; keywords=god, lord, name","making all things and transforming, turning shadow of death into morning and darkening day into night, calling water of sea and pouring it on face of earth; Lord God Almighty is his name,",,pending,,
